Team,Year,player_BPM_mean,player_BPM_max,player_BPM_std,player_BPM_count,player_ORtg_mean,player_ORtg_max,player_ORtg_min,player_PRPG!_mean,player_PRPG!_max,player_PRPG!_sum,player_Usg_mean,player_Usg_max,player_Usg_sum,player_eFG_mean,player_eFG_max,player_TS_mean,player_TS_max,player_Min%_sum,player_Min%_max,player_Ast_mean,player_Ast_max,player_TO_mean,player_Blk_mean,player_Blk_max,player_Stl_mean,player_Stl_max,player_Class Year_<lambda>
Northern Iowa,2022,3.6,3.6,,1,110.4,110.4,110.4,4.6,4.6,4.6,26.2,26.2,26.2,52.0,52.0,58.5,58.5,87.6,87.6,14.2,14.2,13.4,0.1,0.1,1.4,1.4,0
Northwestern,2024,6.3,6.3,,1,114.4,114.4,114.4,5.2,5.2,5.2,27.8,27.8,27.8,52.9,52.9,57.5,57.5,90.6,90.6,28.7,28.7,13.7,0.2,0.2,2.4,2.4,1
Ohio St,2021,7.5,7.5,,1,114.2,114.2,114.2,4.9,4.9,4.9,27.3,27.3,27.3,51.5,51.5,56.7,56.7,68.0,68.0,13.0,13.0,11.9,4.1,4.1,1.3,1.3,0
Ohio St,2022,10.4,10.4,,1,116.2,116.2,116.2,6.0,6.0,6.0,30.5,30.5,30.5,54.6,54.6,59.8,59.8,82.4,82.4,16.1,16.1,15.1,8.2,8.2,1.0,1.0,0
Ohio St,2024,7.1,7.1,,1,121.3,121.3,121.3,4.9,4.9,4.9,23.2,23.2,23.2,49.5,49.5,55.4,55.4,81.0,81.0,27.6,27.6,9.1,0.2,0.2,2.1,2.1,0
Oklahoma,2021,6.4,6.4,,1,110.9,110.9,110.9,5.1,5.1,5.1,28.4,28.4,28.4,49.4,49.4,57.9,57.9,78.7,78.7,27.0,27.0,17.7,1.0,1.0,1.5,1.5,1
Oral Roberts,2021,6.5,6.5,,1,121.8,121.8,121.8,6.6,6.6,6.6,28.9,28.9,28.9,58.1,58.1,63.0,63.0,95.8,95.8,22.3,22.3,12.3,0.4,0.4,2.1,2.1,0
Oral Roberts,2022,2.0,2.0,,1,112.5,112.5,112.5,4.6,4.6,4.6,29.4,29.4,29.4,51.5,51.5,55.6,55.6,93.5,93.5,18.6,18.6,12.3,0.3,0.3,1.4,1.4,0
Oral Roberts,2023,5.4,5.4,,1,120.3,120.3,120.3,5.2,5.2,5.2,27.5,27.5,27.5,54.5,54.5,60.2,60.2,91.1,91.1,19.8,19.8,11.3,0.6,0.6,1.8,1.8,1
Oregon,2020,10.0,10.0,,1,120.6,120.6,120.6,6.9,6.9,6.9,28.4,28.4,28.4,56.3,56.3,60.1,60.1,88.8,88.8,31.6,31.6,16.0,0.1,0.1,2.5,2.5,1
Oregon,2021,8.8,10.4,2.26,2,115.75,120.2,111.3,5.1,5.4,10.2,25.75,29.0,51.5,58.2,63.3,61.25,65.7,155.5,79.1,14.95,15.0,16.45,2.5,2.8,3.1,3.3,2
Oregon,2024,11.7,11.7,,1,120.1,120.1,120.1,4.9,4.9,4.9,24.2,24.2,24.2,69.5,69.5,68.6,68.6,47.5,47.5,11.2,11.2,18.2,6.6,6.6,3.2,3.2,1
Oregon St,2019,8.2,8.2,,1,113.2,113.2,113.2,5.3,5.3,5.3,29.2,29.2,29.2,54.3,54.3,58.6,58.6,87.4,87.4,23.8,23.8,16.6,1.7,1.7,2.8,2.8,0
Oregon St,2020,7.0,7.0,,1,109.4,109.4,109.4,4.7,4.7,4.7,28.3,28.3,28.3,50.0,50.0,55.9,55.9,86.2,86.2,20.7,20.7,13.8,1.7,1.7,3.0,3.0,1
