Rk,Class Year,Height,Player,Team,Conf_x,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year,Rk_ranking,Conf_y,G,Rec,AdjOE,AdjDE,Barthag,Eff. FG% - EFG%,Eff. FG% - EFGD%,Turnover% - TOR,Turnover% - TORD,Rebound% - ORB,Rebound% - DRB,FT Rate - FTR,FT Rate - FTRD,2-Pt % - 2P%,2-Pt % - 2P%D,3-Pt % - 3P%,3-Pt % - 3P%D,3P Rate - 3PR,3P Rate - 3PRD,Adj T.,WAB,Seed,Result,Rk_stats,Adj. Eff. - Off.,Adj. Eff. - Def.,Eff. FG% - Off.,Eff. FG% - Def.,Turnover% - Off.,Turnover% - Def.,Off. Reb% - Off.,Off. Reb% - Def.,FT Rate - Off.,FT Rate - Def.,FT% - Off.,FT% - Def.,2P% - Off.,2P% - Def.,3P% - Off.,3P% - Def.
11,Jr,'6-8',Brandon Clarke,Gonzaga,WCC,70.2,5.6,15.4,134.3,24.0,69.3,69.9,13.9,19.7,12.1,12.7,10.8,2.3,42.0,253-359,0.705,0.8,'4-15',0.267,2019,1,WCC,37,'33-4',124.4,91.0,0.9732,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,35.3,34.9,70.3,7.2,1.0,Elite Eight,1,124.4,91.0,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,76.1,69.7,61.4,43.4,36.3,30.4
12,Sr,'6-1',Daishon Smith,Louisiana Monroe,SB,78.8,5.5,8.0,123.3,27.6,57.0,63.0,2.4,13.0,24.5,13.2,0.2,3.6,46.4,82-158,0.519,14.6,'109-273',0.399,2019,140,SB,35,'19-16',112.4,109.6,0.572,54.0,52.9,16.2,17.4,26.9,29.0,35.8,28.4,49.6,52.7,39.7,35.4,44.2,39.4,66.0,-7.2,,,42,112.4,109.6,54.0,52.9,16.2,17.4,26.9,29.0,35.8,28.4,78.7,72.0,49.6,52.7,39.7,35.4
13,So,'6-7',De'Andre Hunter,Virginia,ACC,80.4,5.5,9.4,122.9,23.5,57.9,61.8,5.6,13.4,13.0,11.8,2.4,1.2,39.8,159-289,0.55,5.6,'46-105',0.438,2019,2,ACC,38,'35-3',123.8,91.1,0.9714,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,39.5,42.5,59.2,11.1,1.0,CHAMPS,2,123.8,91.1,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,74.4,66.6,52.5,45.7,39.5,28.9
14,Sr,'6-8',Matt Rafferty,Furman,SC,84.3,5.4,12.8,127.9,25.0,61.6,65.2,9.7,21.7,25.1,15.4,3.7,4.5,47.9,190-304,0.625,1.4,'8-24',0.333,2019,62,SC,33,'25-8',108.8,97.6,0.7762,55.4,47.9,18.4,20.1,28.7,30.0,24.9,24.2,56.7,48.6,36.0,31.2,47.0,38.9,66.4,-0.26,,,87,108.8,97.6,55.4,47.9,18.4,20.1,28.7,30.0,24.9,24.2,72.3,68.6,56.7,48.6,36.0,31.2
15,Jr,'6-5',Sam Merrill,Utah St,MWC,88.4,5.4,7.2,123.2,25.3,54.1,60.9,1.1,10.9,23.6,12.3,0.8,1.6,42.0,137-259,0.529,10.5,'82-222',0.369,2019,42,MWC,35,'28-7',112.4,97.8,0.8313,53.9,46.5,18.2,17.3,32.0,22.3,36.7,34.3,54.2,42.2,35.7,35.3,38.0,39.9,68.0,2.2,8.0,R64,43,112.4,97.8,53.9,46.5,18.2,17.3,32.0,22.3,36.7,34.3,75.0,71.3,54.2,42.2,35.7,35.3
16,Jr,'6-3',Grant Riller,Charleston,CAA,88.1,5.4,5.7,120.9,30.1,58.4,62.4,2.2,10.2,25.7,13.1,0.2,2.1,38.3,210-339,0.619,7.3,'45-136',0.331,2019,131,CAA,33,'24-9',108.0,104.1,0.6034,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,56.3,53.7,33.7,33.3,36.6,42.9,65.5,-2.9,,,109,108.0,104.1,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,76.1,73.3,56.3,53.7,33.7,33.3
17,Jr,'6-9',Dedric Lawson,Kansas,B12,80.8,5.4,9.7,114.4,28.5,52.5,57.8,11.0,23.2,11.1,14.0,3.7,2.2,40.4,214-419,0.511,4.3,'35-89',0.393,2019,17,B12,36,'26-10',113.7,93.7,0.903,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,34.9,41.8,69.9,8.3,4.0,R32,28,113.7,93.7,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,70.5,68.6,52.6,46.0,35.0,33.6
18,Fr,'6-7',R.J. Barrett,Duke,ACC,87.9,5.4,7.2,108.0,31.3,50.6,53.2,4.8,17.2,23.5,15.9,1.2,1.4,31.9,246-465,0.529,9.6,'73-237',0.308,2019,5,ACC,38,'32-6',119.6,90.4,0.9618,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,58.0,45.0,30.8,29.9,37.3,35.0,72.2,11.2,1.0,Elite Eight,8,119.6,90.4,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,68.6,69.6,58.0,45.0,30.8,29.9
19,Jr,'6-5',Ty Jerome,Virginia,ACC,81.8,5.3,10.3,119.1,24.1,53.2,55.5,1.8,13.0,32.6,13.3,0.1,3.0,22.2,99-211,0.469,10.4,'79-198',0.399,2019,2,ACC,38,'35-3',123.8,91.1,0.9714,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,39.5,42.5,59.2,11.1,1.0,CHAMPS,2,123.8,91.1,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,74.4,66.6,52.5,45.7,39.5,28.9
20,Jr,'6-1',Shamorie Ponds,St John's,BE,84.3,5.3,9.0,116.8,27.6,52.2,57.7,3.1,10.3,29.0,11.3,0.9,4.1,38.4,151-292,0.517,8.8,'65-184',0.353,2019,84,BE,34,'21-13',108.3,100.6,0.6997,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,50.7,50.3,35.8,34.2,38.5,42.2,70.9,-1.1,11.0,R68,98,108.3,100.6,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,71.9,71.0,50.7,50.3,35.8,34.2
21,Sr,'6-3',CJ Massinburg,Buffalo,MAC,78.1,5.3,10.1,127.6,22.7,57.0,61.4,6.6,13.6,15.0,9.7,0.9,1.9,44.4,101-189,0.534,11.2,'92-230',0.4,2019,29,MAC,36,'32-4',114.5,96.4,0.879,53.4,47.3,16.0,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,44.1,35.9,73.5,5.7,6.0,R32,24,114.5,96.4,53.4,47.3,16.0,20.3,31.7,26.9,32.7,31.9,68.4,70.5,55.7,49.3,33.7,29.3
22,Jr,'6-8',Tres Tinkle,Oregon St,P12,87.4,5.3,8.2,113.2,29.2,54.3,58.6,6.8,19.1,23.8,16.6,1.7,2.8,41.1,162-284,0.57,8.7,'53-161',0.329,2019,101,P12,31,'18-13',111.4,104.7,0.6702,52.2,50.2,18.3,17.6,30.8,29.0,36.8,33.5,54.5,46.7,32.1,37.3,36.6,37.4,65.6,-3.8,,,50,111.4,104.7,52.2,50.2,18.3,17.6,30.8,29.0,36.8,33.5,74.2,66.8,54.5,46.7,32.1,37.3
23,Sr,'6-9',Cameron Johnson,North Carolina,ACC,74.6,5.3,12.1,128.9,20.7,62.0,64.7,6.5,13.4,13.8,12.8,1.1,2.1,26.3,115-208,0.553,10.3,'96-210',0.457,2019,7,ACC,36,'29-7',120.8,92.6,0.9551,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,35.8,43.8,74.5,10.0,1.0,Sweet Sixteen,6,120.8,92.6,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,74.3,67.9,52.1,47.9,36.2,33.5
24,Sr,'6-8',Dylan Windler,Belmont,OVC,83.7,5.3,10.5,126.6,24.7,64.9,68.0,6.8,27.2,13.4,13.6,1.7,2.4,30.5,142-215,0.66,11.4,'97-228',0.425,2019,50,OVC,33,'27-6',115.9,102.0,0.8127,57.6,48.7,15.2,16.0,25.3,25.0,28.5,27.4,59.2,47.2,37.0,34.4,43.8,34.5,70.9,1.4,11.0,R64,18,115.9,102.0,57.6,48.7,15.2,16.0,25.3,25.0,28.5,27.4,73.5,69.3,59.2,47.2,37.0,34.4
