Rk,Class Year,Height,Player,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year
20,Sr,'6-4',MaCio Teague,Baylor,B12,77.2,5.2,8.1,125.4,21,56,58.7,5,10.2,9.4,9.5,1.3,1.5,20.4,116-216,0.537,9.5,'60-152',0.395,2021
21,Sr,'6-5',Austin Reaves,Oklahoma,B12,78.7,5.1,6.4,110.9,28.4,49.4,57.9,2.8,15.1,27,17.7,1,1.5,54.1,107-209,0.512,7.1,'32-105',0.305,2021
22,Jr,'6-3',Jared Butler,Baylor,B12,75.8,5.1,10.7,117.3,26.9,57.3,59.9,1.7,11.3,27.8,20,1.3,3.7,24.2,100-191,0.524,11.7,'77-185',0.416,2021
23,Jr,'6-2',Davion Mitchell,Baylor,B12,80.8,5.1,9.5,122.1,21.6,61.3,62,1.7,8.1,28.3,20.1,1.3,3.4,21.4,95-168,0.565,8.4,'63-141',0.447,2021
24,Jr,'6-5',Taevion Kinsey,Marshall,CUSA,93.7,5.1,3.4,119.2,23.5,56.3,60.2,6.3,11.7,14.9,11.8,0.9,1.1,31.9,146-264,0.553,3,'19-46',0.413,2021
25,Sr,'5-8',Loren Cristian Jackson,Akron,MAC,88.1,5.1,4.5,109.5,33.3,46.7,52.9,2.2,7.1,35.5,15.4,0.1,1.6,33.7,95-213,0.446,12.3,'53-161',0.329,2021
26,Sr,'6-3',Collin Gillespie,Villanova,BE,66.4,5.1,6.5,118.9,22.4,52.6,57.6,2.2,9.7,26.6,13.1,0,1.7,34.6,48-99,0.485,10,'41-109',0.376,2021
27,So,'6-9',Trayce Jackson-Davis,Indiana,B10,83,5,7.1,107.3,29.3,51.7,55.8,11,19.8,10.8,12.8,4.8,1.3,64.7,183-354,0.517,0,'0-0',0,2021
28,So,'6-7',Hyunjung Lee,Davidson,A10,75,5,7.3,126.9,21,65.5,68.7,4.6,11.6,16.7,16.6,1.6,1.2,26.2,43-72,0.597,11.4,'53-115',0.461,2021
29,Sr,'6-8',Gaige Prim,Missouri St.,MVC,75.1,5,8.3,117.7,29.6,58.7,61.9,14,21.9,22.1,16.5,4.5,2.3,39.3,148-250,0.592,0.2,'0-2',0,2021
30,Jr,'6-1',Antoine Davis,Detroit Mercy,Horz,95.6,5,1.5,110.5,32.2,52.3,56.6,0.6,8.5,26.7,15.6,0,2.2,22.9,95-197,0.482,15.6,'83-223',0.372,2021
31,So,'6-9',Jeremiah Robinson-Earl,Villanova,BE,85.8,5,6.8,114.1,24.1,53.4,55.8,8.6,21.2,13.5,11.8,2.3,1.7,26.9,132-230,0.574,5.8,'23-82',0.28,2021
32,Sr,'6-0',Jose Alvarado,Georgia Tech,ACC,90.6,4.9,7.3,117.8,20.6,58.8,62.3,2.5,9.4,21,16.1,0.1,4.5,28.7,95-161,0.59,7.2,'46-118',0.39,2021
33,Sr,'6-4',JaQuori McLaughlin,UC Santa Barbara,BW,81.6,4.9,8.5,120.9,25.5,55.6,61,2.8,10.2,32.6,14.6,0.5,2.8,42.8,96-180,0.533,7.2,'39-98',0.398,2021
34,So,'6-2',Grant Sherfield,Nevada,MWC,87,4.9,6.1,110.1,28.9,49.4,56.3,1,10.7,38.8,16.5,0,2.6,42,102-220,0.464,8,'45-123',0.366,2021
35,Sr,'6-7',Jermaine Samuels,Villanova,BE,72.9,4.9,7.5,124.9,20.7,54.4,60.2,7.2,19.1,16.4,10.9,1.2,1.2,45.1,73-136,0.537,5.8,'26-70',0.371,2021
36,Jr,'6-2',Marcus Carr,Minnesota,B10,88.3,4.9,6.3,106.5,28.3,45.1,51.7,2.1,10,31.5,13,0.4,2.1,42.9,114-263,0.433,10.2,'60-189',0.317,2021
37,So,'6-7',E.J. Liddell,Ohio St.,B10,68,4.9,7.5,114.2,27.3,51.5,56.7,7.2,18.4,13,11.9,4.1,1.3,50.8,131-253,0.518,5.5,'27-80',0.338,2021
38,Sr,'6-1',Jalen Crutcher,Dayton,A10,92.9,4.8,2.9,108.9,26.5,54,57.9,1.2,9.3,28.1,17.8,0.1,1.2,36.7,96-182,0.527,8.5,'48-129',0.372,2021
39,Sr,'6-10',Nate Watson,Providence,BE,79.2,4.8,6,118.5,22.9,60.2,61.2,9,14.4,5,10.1,3.2,0.6,42.1,180-299,0.602,0,'0-0',0,2021
40,So,'6-6',Justin Champagnie,Pittsburgh,ACC,78.1,4.8,7.5,115,24.6,51.6,54.9,10.8,25.6,10.4,10.3,4.3,2,34.4,111-208,0.534,6.3,'23-74',0.311,2021
41,So,'7-0',Kofi Cockburn,Illinois,B10,66.7,4.8,8.1,117.9,27.4,65.4,63.7,15.6,24,1.3,13.2,4.8,0.7,66.4,214-327,0.654,0,'0-0',0,2021
42,Sr,'6-6',Eugene Omoruyi,Oregon,P12,76.4,4.8,7.2,111.3,29,53.1,56.8,8.8,12.7,15,15.4,2.2,2.9,32.5,133-258,0.516,7.4,'41-108',0.38,2021
43,Jr,'6-2',Marcus Zegarowski,Creighton,BE,77.9,4.7,7.3,114.5,23.3,57.9,60,1.1,10.4,23.9,15.7,0.2,2.2,20.1,82-159,0.516,11.2,'80-190',0.421,2021
44,Sr,'6-6',Jordan Schakel,San Diego St.,MWC,73.4,4.7,9.7,130.9,18.7,62.2,65.3,3.6,14.4,6.8,8,0.7,2,22.5,46-93,0.495,13.1,'80-174',0.46,2021
45,So,'6-2',Tyson Etienne,Wichita St.,Amer,86.4,4.7,5.8,114.7,22.5,49.6,54.6,1.7,8.5,14.8,7.8,0.3,1.6,40.6,38-106,0.358,13,'61-155',0.394,2021
46,Jr,'6-6',Buddy Boeheim,Syracuse,ACC,80.4,4.6,4.2,111.8,22.7,53.5,55.8,1.8,6.1,14.9,11.3,0.1,2.1,14.2,84-171,0.491,13,'77-202',0.381,2021
47,Sr,'6-3',Tyreke Key,Indiana St.,MVC,78.3,4.6,6.2,114.2,25.7,53.1,59,3.6,15.5,14.7,12.2,1.1,1.9,42.4,100-181,0.552,7.6,'31-95',0.326,2021
48,Jr,'6-4',Javonte Smart,LSU,SEC,85.7,4.6,4.9,112.8,21.5,56,58.6,0.9,9.7,20,18.8,0.3,1.9,17.9,92-178,0.517,9.6,'70-174',0.402,2021
49,Jr,'5-11',Montre' Gipson,Tarleton St.,WAC,89.8,4.6,4,121.8,20.6,61,64.9,2.1,10,15.9,10.9,0,1.5,31.7,67-122,0.549,4.7,'22-42',0.524,2021
50,Sr,'6-7',Isaiah Livers,Michigan,B10,64.6,4.6,9.1,121.9,18.9,57,60.5,4.5,16.6,11.6,11.3,2.3,1.1,24.2,52-107,0.486,9.5,'50-116',0.431,2021
1,So,'6-8',Keegan Murray,Iowa,B10,77,7.1,15,131.2,28.1,61.4,63.8,9.8,20.2,10.1,7.1,6.4,2.3,34.3,241-388,0.621,8.4,'66-166',0.398,2022
2,Jr,'6-7',E.J. Liddell,Ohio St.,B10,82.4,6,10.4,116.2,30.5,54.6,59.8,8.9,19.1,16.1,15.1,8.2,1,53.4,157-291,0.54,7.2,'46-123',0.374,2022
3,Jr,'6-9',Oscar Tshiebwe,Kentucky,SEC,79.2,5.9,12,124.2,24.8,60.4,62.5,19.4,34.3,6.1,14.2,5.4,3.2,41.9,238-393,0.606,0.1,'0-1',0,2022
4,Jr,'6-5',David Roddy,Colorado St.,MWC,82.1,5.9,10.4,119.1,28.8,63.4,64.9,7.3,20.8,19.8,15.2,4,2.1,38.9,172-275,0.625,6.3,'45-103',0.437,2022
5,So,'7-1',Hunter Dickinson,Michigan,B10,76,5.9,9.9,119.9,26.8,58.8,61.7,9.1,22.7,16.1,14,5,0.9,27.2,219-362,0.605,3.7,'21-64',0.328,2022
6,Sr,'6-11',Jake Stephens,VMI,SC,80.8,5.8,9.4,124.5,26.3,65.4,68.4,6.1,22.6,21.8,16.7,6.9,0.9,40.6,116-198,0.586,8.7,'71-142',0.5,2022
7,Sr,'6-3',Collin Gillespie,Villanova,BE,85.4,5.7,8.1,122.6,22.4,56.5,60.9,1.5,11.6,20.2,13.7,0,1.9,26.8,75-161,0.466,13.2,'113-272',0.415,2022
8,Sr,'6-1',Antoine Davis,Detroit Mercy,Horz,92.4,5.5,3.2,110.9,34.7,53.1,56.7,1.6,10.6,29.8,16,0.1,1.6,21.4,125-257,0.486,17.1,'113-298',0.379,2022
9,Sr,'6-0',Kendric Davis,SMU,Amer,83.5,5.4,7,115.8,27.6,53.1,60.3,1.7,9.5,28,16.3,0.3,2.6,48.7,107-212,0.505,10.8,'77-207',0.372,2022
10,Jr,'7-0',Kofi Cockburn,Illinois,B10,64.5,5.4,8,114.7,30.7,59.3,61.3,12.9,25.6,6.7,14.6,3,1.6,53.3,226-381,0.593,0,'0-0',0,2022
11,Sr,'6-4',Javon Freeman-Liberty,DePaul,BE,67.4,5.4,7.5,111.2,30.3,49,53.6,5.4,16.9,20.3,11.6,0.2,2.8,39.4,127-276,0.46,9,'49-133',0.368,2022
12,Sr,'5-9',Darius McGhee,Liberty,ASun,86.8,5.3,7.3,108.9,36.8,55.4,59,1.9,13.7,27.7,15.6,0.6,2,22.8,129-235,0.549,19.5,'125-336',0.372,2022
13,So,'6-4',Malachi Smith,Chattanooga,SC,89.5,5.3,8.3,117.7,28,54.5,59.1,6,16.7,17.1,14.7,0.4,2.9,35.4,179-344,0.52,7.2,'56-139',0.403,2022
14,Sr,'6-3',Terrell Brown Jr.,Washington,P12,89.3,5.2,8.2,107.5,31.8,46.2,51.6,3.6,9.6,30,11.9,1.5,3.4,38.5,245-509,0.481,3,12-60',0.2,2022
15,So,'6-0',Nijel Pack,Kansas St.,B12,76.8,5.2,10,117,23.8,57.8,60.3,2.6,10.9,16.3,11.2,0.4,2.4,18.4,80-167,0.479,13.5,'95-218',0.436,2022
16,Jr,'7-0',Orlando Robinson,Fresno St.,MWC,79.3,5.2,10,109.9,33.8,51.8,55.5,10.1,22.1,23.2,14.1,4.7,2,42.4,200-393,0.509,5.7,'37-100',0.37,2022
17,Sr,'6-7',Hunter Maldonado,Wyoming,MWC,91.9,5.2,4.9,108.5,30.8,52,56.6,3.5,14.1,38.6,19.6,0.4,1.9,53,192-346,0.555,4.1,'21-84',0.25,2022
18,Sr,'6-5',Ochai Agbaji,Kansas,B12,84.6,5.2,8.1,114,23.3,57,59.5,2.8,12.9,8.7,14.5,1.7,1.5,28,155-290,0.534,10.7,'103-253',0.407,2022
19,So,'6-9',Trayce Jackson-Davis,Indiana,B10,79.8,5.2,10.8,117.8,26.2,58.9,61.3,8.3,20.4,13.9,11.7,8.4,1.1,52.2,246-415,0.593,0.2,'0-3',0,2022
20,Sr,'6-7',Justin Bean,Utah St.,MWC,87.9,5.1,9.3,118.2,23.5,58.7,61.5,8.9,24.2,15.4,13.8,1.6,2.7,27,176-318,0.553,4.9,'45-97',0.464,2022
21,Jr,'6-0',Foster Loyer,Davidson,A10,65.9,5.1,5.8,122.6,25.6,57.1,63.8,1.2,11.5,22.3,13.1,0,1.5,40.3,65-139,0.468,11.8,'74-169',0.438,2022
22,Jr,'6-6',Jalen Williams,Santa Clara,WCC,86.7,5.1,5.5,116.1,24.9,56.2,60.1,2,11.7,22.7,13.6,1.5,1.9,33,177-321,0.551,5.2,'42-106',0.396,2022
23,Jr,'6-3',Scotty Pippen Jr.,Vanderbilt,SEC,82.1,5,7.3,104.9,34.4,47.6,54.1,2.9,9.7,32.6,17.1,0.6,3.4,55.6,160-341,0.469,9.6,'64-197',0.325,2022
24,Jr,'6-10',Armando Bacot,North Carolina,ACC,78.3,5,8.2,117.9,25,57,59.6,14.9,29.9,9.9,14.3,5.2,1.5,50.8,243-421,0.577,0.4,'1-8',0.125,2022
25,Sr,'6-4',Bryce Hamilton,UNLV,MWC,82.5,5,7.5,106.2,33.6,50.2,54,2.3,15.3,18.4,10.8,0.4,1.5,29.4,162-334,0.485,13.5,'81-231',0.351,2022
26,So,'7-1',Ryan Kalkbrenner,Creighton,BE,70.6,5,10.2,128.8,20,65.1,67.4,16,12.9,6.7,13.8,8.5,0.9,48.1,170-256,0.664,0.7,'3-12',0.25,2022
27,Jr,'6-7',JT Shumate,Toledo,MAC,80.3,4.9,7.3,135.8,18.4,65.1,67.7,7.6,12.5,10.1,9.9,4.3,1.1,26.8,114-190,0.6,7.3,'65-135',0.481,2022
28,Jr,'6-1',Jahmir Young,Charlotte,CUSA,89.6,4.9,5.2,113.7,28.1,53,58.5,2.4,18,23.3,12.7,1.4,1.8,33,154-285,0.54,8.9,'56-164',0.341,2022
29,Jr,'6-5',Isiaih Mosley,Missouri St.,MVC,79.5,4.9,6,113.9,30.8,56.7,61,3.9,18.9,15.8,16,0.5,2.2,26.9,177-327,0.541,9,'66-160',0.412,2022
30,Sr,'6-9',Keve Aluma,Virginia Tech,ACC,76.7,4.9,8.1,117,26.4,56.8,60.2,8.6,18.5,13.9,14,3.5,1.5,31.8,195-334,0.584,4.3,'25-75',0.333,2022
31,Jr,'6-5',Wendell Moore Jr.,Duke,ACC,84.6,4.8,7.3,121.1,20.3,56.9,60.5,4.3,12.4,21.7,16.6,0.6,2.3,31.4,136-250,0.544,5.6,'52-126',0.413,2022
32,Sr,'6-2',Alex Barcello,BYU,WCC,80.8,4.8,7,118.2,23.8,54.9,59.8,1.1,11.6,19.6,13.8,0,1.6,32.7,102-211,0.483,10.5,'81-196',0.413,2022
33,Sr,'6-1',R.J. Cole,Connecticut,BE,82.2,4.8,5.4,115.5,24.3,48.4,53.6,2.3,9,24.9,14.1,0.2,1.9,29.7,118-253,0.466,9.5,'59-174',0.339,2022
34,Jr,'6-10',Drew Timme,Gonzaga,WCC,70,4.8,8.2,115.8,29.6,59.6,61.6,7.9,16.8,17.6,16.1,2.7,0.5,43.9,224-368,0.609,1.7,'8-28',0.286,2022
35,Sr,'5-8',Tavian Dunn-Martin,Florida Gulf Coast,ASun,83.3,4.7,3.2,110.6,33.5,51,56.8,1.7,8.5,38.1,19,0.1,1.8,34.2,113-246,0.459,14.5,'103-278',0.371,2022
36,Sr,'6-4',Payton Willis,Minnesota,B10,87.1,4.7,7.6,112.5,24,57.7,58.5,2.3,13.3,25.9,12.5,1.4,2.4,22.4,95-184,0.516,10,'74-173',0.428,2022
37,So,'6-7',Dereon Seabron,N.C. State,ACC,87.8,4.7,5.3,111.4,26.3,50.6,55.3,7.7,18.4,19.1,14.8,0.3,2.3,49.8,189-362,0.522,2.3,11-44',0.25,2022
38,Sr,'6-6',Buddy Boeheim,Syracuse,ACC,90.1,4.7,3.9,110,25,49,53.1,1.7,7.9,16,10.8,0.3,2.3,21.4,125-265,0.472,12.5,'88-259',0.34,2022
39,Jr,'6-3',Iverson Molinar,Mississippi St.,SEC,84.2,4.7,5.3,110.7,26.6,48.3,55.3,1.8,9,23.5,15.5,1.3,2.1,40.3,178-345,0.516,5.5,'27-107',0.252,2022
40,Jr,'6-0',Isaiah Stevens,Colorado St.,MWC,86.9,4.7,4.1,115.1,23.6,51.9,56.7,1.4,10,27.4,12.5,0.4,2.1,26.4,116-236,0.492,6.3,'42-109',0.385,2022
41,Sr,'6-10',Luka Brajkovic,Davidson,A10,74.7,4.7,7.6,121.2,24.1,63.3,63.8,8,21.4,18.4,14.1,4.6,0.6,27.2,159-247,0.644,5.4,'35-87',0.402,2022
42,Jr,'5-11',Jordan Walker,UAB,CUSA,79.5,4.7,5.1,108.6,33.4,50.8,55.7,0.4,9.4,29.9,19.6,0.1,2.5,27.7,104-256,0.406,15.4,'114-285',0.4,2022
43,Fr,'6-10',Paolo Banchero,Duke,ACC,82.2,4.7,7.1,111.3,27.2,52,55.7,6.5,19.1,17.5,15.4,2.7,1.9,36.6,201-383,0.525,5.9,'44-130',0.338,2022
44,Jr,'7-0',Jack Nunge,Xavier,BE,65.4,4.6,9.5,127,21.6,60.5,63.3,10.5,21.2,8.8,9,5.6,1.6,53.4,132-209,0.632,5.8,'35-96',0.365,2022
45,Jr,'6-0',Max Abmas,Oral Roberts,Sum,93.5,4.6,2,112.5,29.4,51.5,55.6,0.9,9.1,18.6,12.3,0.3,1.4,26.1,107-237,0.451,14.9,'106-280',0.379,2022
46,Sr,'6-9',Gaige Prim,Missouri St.,MVC,74,4.6,5.8,116.9,28.8,57.1,61.9,12,20.3,11.7,16.5,4.5,1.7,49,196-341,0.575,1.1,'6-18',0.333,2022
47,So,'6-6',Bennedict Mathurin,Arizona,P12,80.6,4.6,6.7,116.9,23.5,53.7,57.7,5.1,12.6,13.8,12.9,0.8,1.6,36.9,135-260,0.519,10.2,'83-223',0.372,2022
48,Sr,'6-4',Daylen Kountz,Northern Colorado,BSky,86.1,4.6,1.9,114,29,57.1,60.9,1.3,12.1,16.7,13.8,0.9,1.4,32.9,220-403,0.546,6.3,'58-135',0.43,2022
49,Jr,'6-4',AJ Green,Northern Iowa,MVC,87.6,4.6,3.6,110.4,26.2,52,58.5,0.8,11.7,14.2,13.4,0.1,1.4,36.3,81-184,0.44,12.6,'92-237',0.388,2022
50,So,'7-0',Mark Williams,Duke,ACC,58.9,4.6,12.1,138.6,18.6,71.8,72.4,13.2,21.4,6.9,12.3,11.3,1.3,28.9,191-265,0.721,0.1,'0-1',0,2022
1,Jr,'7-4',Zach Edey,Purdue,B10,76.7,7.2,14.3,125.9,32.6,60.7,63.9,21.6,27.2,13.4,13.8,7.2,0.5,50.4,290-478,0.607,0,'0-0',0,2023
2,Sr,'6-4',Jalen Pickett,Penn St.,B10,89.8,6.6,10,118.7,29.3,55.2,57.6,4,19.6,39.3,13.2,1.6,1.6,23,215-394,0.546,5.4,'45-118',0.381,2023
3,Jr,'6-9',Trayce Jackson-Davis,Indiana,B10,78.7,6.4,14.7,118.5,30.1,58.2,60.9,10.1,24.7,24.8,14.3,9,1.4,46.7,262-450,0.582,0,'0-0',0,2023
4,Sr,'6-1',Antoine Davis,Detroit Mercy,Horz,92.5,6.1,5.2,115.6,35.1,52.3,56.8,1.3,8.5,22.7,14.9,0.1,2,24.3,140-338,0.414,18.6,'155-374',0.414,2023
5,Sr,'6-10',Drew Timme,Gonzaga,WCC,79.6,5.9,8.7,119.7,30.5,61.6,62.5,9.6,17.7,19.3,15.1,3.3,1,49,301-474,0.635,1.2,'4-24',0.167,2023
6,Jr,'7-1',Ryan Kalkbrenner,Creighton,BE,73.6,5.7,10,133.4,19.4,70.5,72.5,9.5,12,7.8,13.6,5.9,1.1,38.7,213-296,0.72,1,'6-19',0.316,2023
7,Sr,'6-2',Cam Shelton,Loyola Marymount,WCC,89,5.7,8.1,116.6,30.4,55.2,57.9,4,14.2,27.3,14,0.5,2.9,35.7,187-346,0.54,7.6,'55-142',0.387,2023
8,Sr,'6-5',Taevion Kinsey,Marshall,SB,94.1,5.6,7.5,122.3,26.3,56.4,59.9,4.3,8.9,26.6,12.1,1.3,2.4,40,246-440,0.559,2.2,'19-47',0.404,2023
9,Jr,'6-8',Kris Murray,Iowa,B10,75.6,5.6,8,118.5,25.6,54.8,57.2,8.5,17.8,11.7,9.5,3.4,1.7,25.9,151-259,0.583,11.2,'66-197',0.335,2023
10,Sr,'6-9',Oscar Tshiebwe,Kentucky,SEC,78.3,5.6,9.5,122.6,24.5,56,60.3,19.5,27.9,9.4,14.8,3.3,2.9,54,195-346,0.564,0.1,'0-2',0,2023
11,Jr,'6-1',Steven Ashworth,Utah St.,MWC,82.9,5.6,8.4,127.8,21.8,60.4,65.3,1.2,10.1,26.1,13.7,0.1,2.1,38.5,56-109,0.514,12.7,'106-247',0.429,2023
12,Sr,'7-0',Jake Stephens,Chattanooga,SC,56.1,5.6,10.8,120.9,30.5,61.5,66,7.8,26,26,17.8,7.7,1.8,44.5,112-184,0.609,9.3,'48-115',0.417,2023
13,Sr,'6-1',Xavier Castaneda,Akron,MAC,79.4,5.5,8,121.9,29.4,54.4,62.3,2.8,11.8,19,13.5,0.2,1.7,59.1,65-136,0.478,15.9,'102-265',0.385,2023
14,Sr,'5-11',Tylor Perry,North Texas,CUSA,82.6,5.5,10.1,124.3,24.4,57.2,63.3,2,10.7,12.6,13.7,0.2,2.7,43.6,63-132,0.477,15,'111-269',0.413,2023
15,So,'6-5',Brandin Podziemski,Santa Clara,WCC,86.2,5.4,10,120.5,25.5,57.6,60.8,5.5,21,20.8,14,1.3,2.8,32.3,137-267,0.513,9,'80-179',0.447,2023
16,Sr,'6-3',Adam Flagler,Baylor,B12,78.9,5.4,7,120.4,22.8,52.8,56.2,1.1,7.7,27.9,13,0.2,2.1,26.6,88-194,0.454,10.9,'80-200',0.4,2023
17,Sr,'6-7',Jordan Miller,Miami FL,ACC,86.9,5.4,6.9,127.2,20,58.5,61.6,7.2,14,14.1,11.1,1.3,2,31.3,186-309,0.602,4.1,'32-91',0.352,2023
18,Sr,'6-0',Kendric Davis,Memphis,Amer,84.2,5.4,7.2,111.1,31.4,47.3,55.1,1.8,9.7,30,15.5,0.6,3.1,47.4,163-363,0.449,8.8,'65-188',0.346,2023
19,Sr,'5-9',Darius McGhee,Liberty,ASun,82.1,5.3,11,114.4,33.6,55.8,58.9,1.6,11.3,21.3,10.9,0.6,3.1,20.5,107-205,0.522,22.1,'150-390',0.385,2023
20,Sr,'6-0',Isaiah Stevens,Colorado St.,MWC,71.8,5.3,4.4,111.9,28,51.5,55.5,2.4,8.7,38.1,13.2,0.9,1.2,23.8,118-236,0.5,7.9,'44-121',0.364,2023
21,Sr,'6-0',Max Abmas,Oral Roberts,Sum,91.1,5.2,5.4,120.3,27.5,54.5,60.2,1.5,10.1,19.8,11.3,0.6,1.8,33.4,104-201,0.517,14.4,'108-287',0.376,2023
22,Sr,'5-8',Markquis Nowell,Kansas St.,B12,90.7,5.2,8.6,111,27.6,48.1,56,1.2,9.7,42.9,20.4,0.2,3.9,44.6,92-218,0.422,10.6,'88-248',0.355,2023
23,Jr,'6-11',Azuolas Tubelis,Arizona,P12,75.6,5.2,8.8,116.1,28.4,58,61.4,10.6,21.8,14,15.3,2.3,2.1,37,264-449,0.588,1.7,10-32',0.313,2023
24,Sr,'6-2',Marcus Sasser,Houston,Amer,74.9,5.1,11,123.5,24.9,54.9,59.8,1.4,8.9,19.6,12.9,0.7,3.2,34.7,95-185,0.514,13.9,'96-250',0.384,2023
25,Sr,'6-2',Cameron Parker,Portland St.,BSky,85.1,5.1,5.7,122.4,24.9,55.1,64,0.9,12.5,35.9,15.7,0.2,1.8,82.2,131-243,0.539,2.5,'18-44',0.409,2023
26,Jr,'6-2',RayJ Dennis,Toledo,MAC,84.9,5,4.9,119.5,28.6,53.1,56,2.7,12.1,31.6,11.5,0.6,2.4,23.7,206-392,0.526,6.9,'51-140',0.364,2023
27,Sr,'6-1',Tyree Appleby,Wake Forest,ACC,91.1,5,5.3,112,28.7,51.5,58,1.4,9.4,34.6,18.6,0.2,2.7,48.4,109-222,0.491,10.1,'77-214',0.36,2023
28,Sr,'5-11',Jordan Walker,UAB,CUSA,70.5,5,7.7,114.8,30.4,52.2,56.5,1.1,7.8,26.3,15.3,0,2.1,28.1,98-219,0.447,18.3,'135-357',0.378,2023
29,Jr,'7-1',Hunter Dickinson,Michigan,B10,80,5,9.3,116.4,27.1,58.7,61.4,8.3,22.4,10.5,13.6,5.4,0.9,36.9,220-379,0.58,3,'24-57',0.421,2023
30,Sr,'6-8',Kobe Brown,Missouri,SEC,71.2,5,8.1,125.6,23.5,62.5,65.5,7.3,18.3,16.7,13.6,1.9,2.8,35.6,143-239,0.598,6.4,'51-112',0.455,2023
31,Fr,'6-9',Brandon Miller,Alabama,SEC,80,4.9,11,117,25,53.3,58.3,6.7,17.7,12.7,14.7,2.4,1.5,32.9,116-240,0.483,12.5,'106-276',0.384,2023
32,Jr,'6-10',Josh Cohen,Saint Francis,NEC,86.4,4.9,5,118.4,29.9,58.5,60.5,8.8,19.3,17.4,10.5,2.7,1.5,56.6,245-418,0.586,0.1,'0-1',0,2023
33,Sr,'6-3',Souley Boum,Xavier,BE,87.9,4.9,5.3,119.2,21.1,53.2,59.6,1.3,12.2,20,14.1,0.4,1.6,42.1,108-230,0.47,8.2,'78-193',0.404,2023
34,Jr,'6-9',Adama Sanogo,Connecticut,BE,66.5,4.8,10.3,122.7,26.4,62.7,64.8,11.6,21.3,11.5,16.1,3.2,1.5,28,258-405,0.637,2.9,'19-52',0.365,2023
35,Sr,'6-7',JT Shumate,Toledo,MAC,73.5,4.8,5.2,135.2,21.1,61.6,65.6,6.7,11.9,7.9,7.3,3.9,1.1,33,140-228,0.614,7.5,'55-133',0.414,2023
36,Jr,'6-3',Jordan Dingle,Penn,Ivy,79.6,4.8,5.7,112.7,32.2,54.6,59.7,2.5,9.4,15.7,15.2,0.5,1.9,35.5,141-254,0.555,13.6,'77-216',0.356,2023
37,Sr,'6-7',Jaime Jaquez Jr.,UCLA,P12,83.1,4.8,9.5,113.1,27.2,51.1,54.3,9,20.2,14.6,11.9,2.2,2.8,24.9,228-439,0.519,5,'33-104',0.317,2023
38,Sr,'6-10',KJ Williams,LSU,SEC,82.1,4.8,7.2,118.3,24.4,55.6,58.7,9.8,17.7,7.5,10.9,2.9,2.2,27.6,157-298,0.527,7.8,'58-141',0.411,2023
39,Jr,'6-8',Eric Dixon,Villanova,BE,78.8,4.7,6,116.3,25.6,54.7,58.6,9.3,16.4,10.5,11.2,2.4,1,33.7,148-275,0.538,6.4,'42-111',0.378,2023
40,So,'6-5',Ajay Mitchell,UC Santa Barbara,BW,86.6,4.7,4.8,117.3,26.2,53.6,59.8,1.3,8.8,29.7,14.6,0.9,2.3,49.7,174-308,0.565,3.7,'19-70',0.271,2023
41,Sr,'6-3',Boogie Ellis,USC,P12,82.4,4.7,6.3,113.3,25.6,52.9,57.3,1.1,10.8,19.8,12.9,0.7,2.5,34,107-223,0.48,11.5,'83-215',0.386,2023
42,Jr,'6-3',Tyler Kolek,Marquette,BE,79.7,4.7,8.1,117.8,24.2,53.9,57.9,2.8,12.6,39.5,18.5,0.5,3.2,31.7,118-232,0.509,5.9,'47-118',0.398,2023
43,So,'6-10',DaRon Holmes II,Dayton,A10,85,4.7,7.4,115.6,27,59.7,62.1,11,16.9,12.1,15.8,6.5,1.4,60.5,224-371,0.604,1,'6-19',0.316,2023
44,Sr,'6-9',DeAndre Williams,Memphis,Amer,76.7,4.7,9.1,115.9,26.8,56.5,59.3,9.5,19.8,19.2,15.3,3.6,2.6,34.1,210-377,0.557,3.7,'29-72',0.403,2023
45,Jr,'6-6',Omari Moore,San Jose St.,MWC,91.1,4.7,6.1,110,28.1,49.2,52.5,2.9,12.3,30.6,16.1,2.1,1.3,24.8,151-313,0.482,9.9,'66-195',0.338,2023
46,Jr,'6-8',Jalen Wilson,Kansas,B12,87.8,4.7,5.9,106.2,28.2,49,54,5.2,20.8,12.5,13.4,1.4,1.5,34.6,177-367,0.482,9.3,'70-208',0.337,2023
47,Sr,'6-9',Joey Hauser,Michigan St.,B10,83.9,4.7,7.4,121.4,19.5,59.7,63.6,4.8,19.1,10.6,13.6,0.7,0.7,28.6,87-172,0.506,8.8,'77-167',0.461,2023
48,Jr,'6-9',Isaac Jones,Idaho,BSky,77.9,4.6,4.9,118.7,28.7,62.5,64.5,7.9,22.9,14.6,13.5,3.8,1.2,60.2,203-319,0.636,1.1,'5-18',0.278,2023
49,So,'6-5',Jordan Hawkins,Connecticut,BE,69.6,4.6,7.4,121.2,22.7,53.1,58.4,3.9,10.8,8.2,11.9,1.8,1.4,31.7,73-164,0.445,15.2,'109-281',0.388,2023
50,Jr,'6-11',Max Fiedler,Rice,CUSA,77.2,4.6,6.2,129,19.7,73.2,72,12.1,16.6,32.5,22.7,3.7,1.4,30,161-217,0.742,0.2,'0-3',0,2023
