Rk,Class Year,Height,Player,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year
30,Jr,'5-11',Jared Harper,Auburn,SEC,82.3,5.1,6.3,116.7,25.1,50.1,56,1,8.1,32.6,16.9,0.2,2,39.9,82-191,0.429,11.6,'96-260',0.369,2019
31,Sr,'6-4',Fletcher Magee,Wofford,SC,80.1,5.1,7.7,124,25.7,57.4,61.3,1.5,8.3,9.9,10.5,0.2,1.3,22,64-131,0.489,19.8,'140-346',0.405,2019
32,Sr,'6-6',Jordon Varnado,Troy,SB,56.4,5,5.8,116.3,29.1,59.6,63.4,7.5,19.1,17.3,16.4,3.8,0.9,39.3,108-189,0.571,7.5,'36-83',0.434,2019
33,Jr,'6-10',Kerry Blackshear Jr.,Virginia Tech,ACC,74.4,5,7.2,118.8,27.4,53.7,58.3,13.7,18.5,17.3,13.7,4.1,1.4,50.3,163-299,0.545,3.7,'21-63',0.333,2019
34,Jr,'6-8',Rui Hachimura,Gonzaga,WCC,75.5,5,8.4,121.7,26.4,60.8,63.9,5.8,17,9.3,12.9,2.4,1.8,47.7,260-429,0.606,1.8,'15-36',0.417,2019
35,Sr,'6-5',John Konchar,Purdue Fort Wayne,Sum,86.8,5,8.2,119.9,28.3,59.1,62.3,7.3,20.5,30,16.6,3,3.3,43.3,166-266,0.624,6.7,'45-129',0.349,2019
36,Sr,'6-1',Corey Davis Jr.,Houston,Amer,82.4,4.9,8.8,120.9,23.1,53.5,57.9,2.4,8.3,17,11.4,0.3,1.9,27,91-185,0.492,14.4,'111-296',0.375,2019
37,Sr,'6-3',Phil Booth,Villanova,BE,86.9,4.9,5.5,112.5,27.4,52.9,56.7,1.2,11.9,24.9,14.8,0.7,1.5,36.5,123-243,0.506,12.5,'95-259',0.367,2019
38,Sr,'6-3',Jeremiah Martin,Memphis,Amer,85.2,4.8,9.5,114.8,26.1,51.8,57.7,3.5,10.1,24.4,15.6,2.1,3.4,54.3,154-297,0.519,8.2,'66-191',0.346,2019
39,Jr,'6-4',Jon Axel Gudmundsson,Davidson,A10,92.6,4.8,6.8,115.5,25.3,53.6,60.1,2.5,20,27.5,16.3,0.3,2.1,51.7,115-213,0.54,8.1,'58-164',0.354,2019
40,Jr,'6-10',Nathan Knight,William & Mary,CAA,75.4,4.8,7.9,117.8,33,58.9,62.5,10.4,22.2,28.6,15.2,7.4,0.8,53.1,220-358,0.615,2.6,10-41',0.244,2019
41,Jr,'6-0',Eugene German,Northern Illinois,MAC,75.8,4.8,7.7,114,29.9,58.2,59.9,2,16.7,19,14.4,0.6,2.3,26.8,139-252,0.552,12.2,'84-203',0.414,2019
42,So,'6-1',Colbey Ross,Pepperdine,WCC,87.4,4.8,3.4,110.7,31,52,61.1,1.1,8.9,42.2,22.8,0.5,1.8,67.4,113-242,0.467,7.7,'63-157',0.401,2019
43,So,'6-5',Terry Taylor,Austin Peay,OVC,83.6,4.7,6.6,121.4,26.7,57.7,60.2,10.8,19.9,10.7,12,3,1.7,30.4,194-323,0.601,7.5,'49-141',0.348,2019
44,Sr,'6-6',Cameron Young,Quinnipiac,MAAC,87.7,4.7,5.4,116.8,29.2,59.4,63.6,3.3,13,13.6,16.2,0.9,1.9,51,118-223,0.529,12.7,'104-238',0.437,2019
45,Sr,'6-4',Shizz Alston Jr.,Temple,Amer,90.6,4.7,6.2,111,27.2,50.2,55.8,1.5,7.1,28.4,14.5,0.5,2.3,29.7,108-228,0.474,13.3,'99-283',0.35,2019
46,Sr,'6-0',Jahmal McMurray,SMU,Amer,81.7,4.7,4.6,117,25.2,55.9,58.3,0.5,7.6,17.7,12.7,0.4,1.3,17.6,105-203,0.517,14.9,'101-256',0.395,2019
47,So,'6-5',Jarrett Culver,Texas Tech,B12,80.6,4.7,10.5,106.9,32.2,50.5,54.2,5.7,17.3,25.9,15.5,2.2,2.7,37.7,205-390,0.526,7.8,'49-161',0.304,2019
48,Sr,'6-2',Jordan Davis,Northern Colorado,BSky,85.8,4.7,5.5,111,35.6,51.9,57.4,3,13,33.5,16.4,1,2.4,43.4,189-371,0.509,7.9,'51-141',0.362,2019
49,Sr,'6-6',Max Strus,DePaul,BE,90.3,4.7,3.9,115.8,23.4,53.3,57.5,3.5,14.7,11.3,12.7,1.6,1.4,28.1,119-230,0.517,13.2,'113-311',0.363,2019
50,Sr,'6-6',Marial Shayok,Iowa St.,B12,79.9,4.7,5.4,111.9,26.9,57.1,61.1,5.1,11.7,12.2,17.6,0.8,1.7,26.6,158-278,0.568,9.6,'71-185',0.384,2019
1,Sr,'5-11',Markus Howard,Marquette,BE,78.9,7,10.2,113.5,37.3,52.9,59.3,1.9,9.1,26.2,15.3,0.1,1.6,44.5,115-266,0.432,17.1,'121-294',0.412,2020
2,Sr,'6-2',Payton Pritchard,Oregon,P12,88.8,6.9,10,120.6,28.4,56.3,60.1,2.3,11.6,31.6,16,0.1,2.5,30.3,128-250,0.512,11.3,'88-212',0.415,2020
3,Sr,'6-1',Jordan Ford,Saint Mary's,WCC,93.4,6.2,7.4,119.3,27,56.1,59.6,2,8.4,13.8,9,0.1,2.2,25.8,181-337,0.537,9.8,'81-202',0.401,2020
4,Jr,'6-11',Luka Garza,Iowa,B10,80.1,6.2,10.5,117,31.1,57.8,59.4,12.5,21.2,9.3,10.4,6,1.5,36.8,248-421,0.589,6.2,'39-109',0.358,2020
5,Jr,'5-8',Loren Cristian Jackson,Akron,MAC,86.3,6,8,123.7,26.8,58.7,63.8,2.1,6.2,29.2,14.5,0.1,1.5,37.9,96-192,0.5,11.7,'91-204',0.446,2020
6,Sr,'6-5',Sam Merrill,Utah St.,MWC,86.3,5.8,9.2,125.9,24.1,56.6,62.5,0.6,12,24,10.9,0.4,1.5,39.7,106-206,0.515,11.4,'89-217',0.41,2020
7,So,'6-2',Devon Dotson,Kansas,B12,84.2,5.8,10,114.1,26.3,51.1,57.4,1.9,10.5,23.3,15.9,0.3,3.6,44.8,140-261,0.536,6.7,'35-116',0.302,2020
8,So,'6-5',Tyrese Haliburton,Iowa St.,B12,62.8,5.6,10.7,120.1,21.5,61.1,63.1,4.6,13.7,35.3,20.1,2,3.8,18.4,71-120,0.592,8.8,'52-124',0.419,2020
9,Jr,'6-1',Malachi Flynn,San Diego St.,MWC,84.8,5.6,10.9,121.5,27.1,53.2,58.3,2.3,13.5,30.2,11.7,0.4,3.1,33.7,107-209,0.512,11.6,'74-201',0.368,2020
10,Jr,'6-1',Carlik Jones,Radford,BSth,83.9,5.4,8.4,119.9,31.4,53.1,58.9,2.3,16.1,36.1,13.5,0.7,2.3,44.1,162-320,0.506,6.6,'44-109',0.404,2020
11,So,'6-10',Daniel Oturu,Minnesota,B10,84.2,5.4,9.9,112,28.3,58.5,61.2,12,23.3,7.6,17.5,7.1,1,42.8,219-371,0.59,2.9,'19-52',0.365,2020
12,Jr,'6-5',Mason Jones,Arkansas,SEC,80.6,5.4,8.4,111.9,31.6,53.3,61.4,2.4,16.3,23,16.7,0.5,2.7,66.8,123-228,0.539,10.3,'68-194',0.351,2020
13,So,'6-9',Obi Toppin,Dayton,A10,78.2,5.4,11.9,122.5,26.2,67.4,68.4,5.2,22,14.5,15.4,4.1,1.8,36.4,213-305,0.698,4.9,'32-82',0.39,2020
14,Sr,'6-1',Cassius Winston,Michigan St.,B10,78.9,5.3,7.7,112.2,29.1,53.6,58.5,0.7,7.1,36.3,19.5,0.1,2.1,32.7,112-244,0.459,10,'73-169',0.432,2020
15,Sr,'6-3',Jonah Radebaugh,Northern Colorado,BSky,95,5.3,7.3,118.7,25.7,55.9,58.6,3.7,16.4,35.1,16.4,0.6,2.3,23.5,137-266,0.515,5.9,'48-108',0.444,2020
16,Sr,'6-3',Grant Riller,Charleston,CAA,84,5.3,7,112.1,33.9,54.8,60.5,1.9,15.2,30.5,16.6,1,2.9,46.2,173-315,0.549,7.6,'47-129',0.364,2020
17,Jr,'6-4',Javion Hamlet,North Texas,CUSA,76.6,5.2,5,120.3,27.5,53.9,60.8,1.9,10.1,34.9,17.1,0.1,1.4,45.5,121-237,0.511,4.2,'26-60',0.433,2020
18,Jr,'6-0',Jhivvan Jackson,UTSA,CUSA,86.4,5.2,6.1,106.1,35.7,49.8,54.2,2.9,14.4,17.3,12.5,0.7,2.3,26.5,152-325,0.468,16.8,'110-312',0.353,2020
19,Sr,'6-0',Anthony Cowan Jr.,Maryland,B10,86.9,5.1,6.8,113.4,25.1,46.9,55.4,1.8,9.7,29.2,15.1,0.5,1.6,59.6,83-182,0.456,9.6,'56-174',0.322,2020
20,Sr,'6-1',Jordan Roland,Northeastern,CAA,90.1,5.1,5.8,118.1,27.5,57.4,61.6,1.9,10.1,11.3,10.8,0.8,2.6,28.2,155-277,0.56,12.3,'95-241',0.394,2020
21,Sr,'6-4',Skylar Mays,LSU,SEC,85.4,5.1,7.3,120.5,21.7,56.4,62.2,1.6,13.7,17,17.1,0.7,2.9,43.9,119-217,0.548,6.7,'50-127',0.394,2020
22,So,'6-8',Saddiq Bey,Villanova,BE,84.4,5.1,7.3,119,22,58.4,60.8,4.5,11.3,14.9,11.8,1.1,1.4,24.8,96-192,0.5,9.9,'79-175',0.451,2020
